Verkehrsaufkommen_ID,Anzahl_KFZ,Geschwindigkeit_KFZ,Anzahl_PKW,Geschwindigkeit_PKW,Anzahl_LKW,Geschwindigkeit_LKW,Zeit_ID_FK,Verkehrsdetektor_ID_FK
1,109.855421686747,50.022489959839355,101.65060240963855,51.27389558232932,8.204016064257027,31.951807228915662,2,001
2,117.03696303696303,48.44455544455545,105.48251748251748,49.76923076923077,11.556443556443556,34.22377622377623,170,001
3,117.55142857142857,49.45142857142857,107.90571428571428,50.59619047619048,9.645714285714286,32.820952380952384,338,001
4,125.36711281070745,47.05353728489484,115.87667304015297,48.09751434034417,9.493307839388144,31.75621414913958,506,001
5,151.1455648218347,47.63153904473086,141.74222896133435,48.638362395754356,9.40636846095527,31.106899166034875,674,001
6,152.2909952606635,47.560189573459716,140.42085308056872,48.65592417061611,11.870142180094787,31.8,842,001
7,144.88973966309342,47.293261868300156,135.7572741194487,48.331546707503826,9.119448698315468,30.460949464012252,1010,001
8,133.61318051575932,47.20057306590258,122.98280802292264,48.396370582617,10.912129894937918,31.125119388729704,1178,001
9,130.73875598086124,46.622009569377994,121.16555023923445,47.816267942583735,9.573205741626793,30.757894736842104,1346,001
10,121.39419404125286,47.083269671504965,112.73949579831933,48.229182582123755,8.656990068754775,30.644766997708174,1514,001
11,119.93910561370123,46.902949571836345,110.68981921979068,48.01522359657469,9.24452901998097,30.111322549952426,1682,001
12,152.88760806916426,49.13064361191162,143.67915465898176,50.196926032660905,9.20653218059558,30.2478386167147,1850,001
13,132.13425925925927,48.604166666666664,123.98302469135803,49.60262345679013,8.146604938271604,30.385802469135804,2018,001
14,121.89068441064639,46.694866920152094,111.40209125475285,47.900190114068444,10.48384030418251,30.66254752851711,2186,001
15,120.5752128666036,46.189214758751184,110.50047303689688,47.1996215704825,10.368968779564806,30.466414380321666,2354,001
16,129.03633610900832,45.284632853898565,119.28160484481454,46.169568508705524,9.750946252838759,29.604844814534445,2522,001
17,134.79547596606974,46.11215834118756,125.54288407163054,47.21300659754948,9.248821866163997,29.791705937794532,2690,001
18,156.21177944862154,45.81453634085213,146.2280701754386,46.74561403508772,9.982456140350877,29.469924812030076,2858,001
19,139.83839150227618,45.28907435508346,130.92640364188165,46.31183611532625,8.9051593323217,29.85887708649469,3026,001
20,135.86509433962263,44.93490566037736,126.48679245283019,46.011320754716984,9.552830188679245,29.92735849056604,3194,001
