Baustellen_ID,Baustellenart,Baustellentyp,Beginn,Ende,Seite Sperrung,Icon,Beschreibung,Koordinaten
227,Sperrung,,21.03.2023 13:20,18.03.2024 23:59,Einseitig,sperrung,"gesperrt, Bauarbeiten, bis voraussichtlich 18.03.2024","GEOMETRYCOLLECTION(POINT(13.30638 52.56816), LINESTRING(13.30638 52.56816, 13.3063 52.568389999999994, 13.30614 52.56873999999999, 13.30607 52.56898999999999, 13.30599 52.56931, 13.30598 52.56936000000001, 13.30591 52.569600000000015, 13.305690000000002 52.57043999999999))"
228,Sperrung,Vollsperrung,21.03.2023 09:00,31.12.2024 17:00,Beidseitig,sperrung,"Baustelle, Vollsperrung, Rad- und Fußverkehr frei","GEOMETRYCOLLECTION(POINT(13.30197147233627 52.571656722877236), LINESTRING(13.300166098997565 52.569977036354715, 13.300296990904238 52.57007997588545, 13.300793926420747 52.57055096133912, 13.301558889247637 52.571273045892234, 13.302396076115668 52.572082026074064, 13.303211055315295 52.57288600637862, 13.303460978440091 52.5731170632289, 13.303999094154634 52.57364697700548, 13.304306902526546 52.57392705356473), LINESTRING(13.304306902526546 52.57392705356473, 13.303999094154634 52.57364697700548, 13.303460978440091 52.5731170632289, 13.303211055315295 52.57288600637862, 13.302396076115668 52.572082026074064, 13.301558889247637 52.571273045892234, 13.300793926420747 52.57055096133912, 13.300296990904238 52.57007997588545, 13.300166098997565 52.569977036354715))"
229,Bauarbeiten,keine Sperrung,20.03.2023 09:00,31.12.2028 17:00,Beidseitig,baustelle,"Erweiterung des Bundesrates, Fahrbahn auf jeweils einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.380811021755168 52.50980025665969), LINESTRING(13.379471949873873 52.509711064795425, 13.37972496895444 52.5097270276202, 13.380890961656442 52.50980098193562, 13.382303012163375 52.50988799959816, 13.383558055405562 52.509968989293284, 13.383909953276401 52.509985035218634, 13.384188025472394 52.50999701494325), LINESTRING(13.384188025472394 52.50999701494325, 13.383909953276401 52.509985035218634, 13.383558055405562 52.509968989293284, 13.382303012163375 52.50988799959816, 13.380890961656442 52.50980098193562, 13.37972496895444 52.5097270276202, 13.379471949873873 52.509711064795425))"
230,Störung,keine Sperrung,20.03.2023 07:48,28.03.2024 06:00,Einseitig,warnung,"linker Fahrstreifen gesperrt, Bauarbeiten","GEOMETRYCOLLECTION(POINT(13.305658325835795 52.56928612163144), LINESTRING(13.306667083789096 52.56749308246473, 13.306450941984442 52.56772600721471, 13.3063069775623 52.56789702647224, 13.30616404274353 52.568137022115806, 13.305958048857654 52.56851997300556, 13.305805008539814 52.56893398142763, 13.30574398635449 52.56920401027479, 13.305729045364755 52.56940402847425, 13.305697017009473 52.57023102192905, 13.305705882515309 52.57040296890953, 13.305730048976566 52.570690940349266), LINESTRING(13.30555 52.57142, 13.30551 52.570419999999984, 13.305500000000002 52.56993, 13.305500000000002 52.56987999999999, 13.305500000000002 52.56980999999999, 13.30551 52.56954, 13.30553 52.569410000000005, 13.30556 52.56920999999999, 13.30558 52.568960000000004, 13.30565 52.56872999999999, 13.30579 52.56844000000001, 13.3059 52.568189999999994, 13.30596 52.56809, 13.30614 52.567780000000006, 13.3063 52.56755999999999, 13.30635 52.56750999999999, 13.30647 52.56728999999999, 13.30663 52.56710000000001, 13.306700000000001 52.56701, 13.30688 52.56682000000001, 13.307060000000002 52.56664, 13.30726 52.56648, 13.307720000000002 52.56619, 13.30819 52.56593, 13.308350000000003 52.565859999999994, 13.3089 52.56561000000001, 13.30915 52.56548, 13.30926 52.56542999999999, 13.30935 52.565380000000005, 13.30946 52.56530999999999, 13.30953 52.56526, 13.30961 52.565189999999994))"
231,Baustelle,keine Sperrung,13.03.2023 06:00,31.08.2024 17:00,Einseitig,baustelle,"Hochbaustelle, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.396794585658954 52.53847325857293), LINESTRING(13.39600200521063 52.538259075190275, 13.397939005630105 52.538800947886365))"
232,Baustelle,keine Sperrung,02.03.2023 08:00,31.12.2024 17:00,Beidseitig,baustelle,"Leitungsbauarbeiten, Fahrbahn auf jeweils einen Fahrtreifen verengt und verschwenkt, eine Baustellenampel regelt den Verkehr","GEOMETRYCOLLECTION(POINT(13.31563120557662 52.61254395583304), LINESTRING(13.315402103896156 52.613129962204845, 13.315370034117969 52.61303806717894, 13.315343933799488 52.612933040230224, 13.315354899400496 52.61285902014758, 13.315400086814764 52.612766965309206, 13.31544197575143 52.61270696154293, 13.315529018188222 52.612625032490975, 13.315634038896356 52.61254803440973, 13.315757075756832 52.61247497877637, 13.315924000941717 52.61238600360135, 13.316151940643598 52.6122889945843), LINESTRING(13.316151940643598 52.6122889945843, 13.315924000941717 52.61238600360135, 13.315757075756832 52.61247497877637, 13.315634038896356 52.61254803440973, 13.315529018188222 52.612625032490975, 13.31544197575143 52.61270696154293, 13.315400086814764 52.612766965309206, 13.315354899400496 52.61285902014758, 13.315343933799488 52.612933040230224, 13.315370034117969 52.61303806717894, 13.315402103896156 52.613129962204845))"
233,Baustelle,keine Sperrung,27.02.2023 10:00,29.02.2024 17:00,Einseitig,baustelle,"Leitungsbauarbeiten, Fahrbahn auf einen Fahrstreifen verengt","GEOMETRYCOLLECTION(POINT(13.622385462042864 52.50409551840199), LINESTRING(13.628058032362354 52.50338596942574, 13.626585094809471 52.50356200474273, 13.624760006827827 52.50377600642518, 13.623123062778424 52.50396600619337, 13.621902004256818 52.50410993974866, 13.621544089281924 52.504143981645214, 13.62083997966486 52.50423296769517, 13.620631945117408 52.50426102163757, 13.619701044167526 52.50438403949937, 13.61952189757591 52.504407033977, 13.618987968637933 52.50445798513592, 13.61732699596111 52.50464205012313, 13.61700500289986 52.50465797691698, 13.616131069804625 52.50470700846406, 13.61588098434521 52.50471801905473))"
234,Baustelle,keine Sperrung,27.02.2023 08:00,30.04.2024 17:00,Beidseitig,baustelle,"Sanierung Brückenbauwerk über Britzer Zweigkanal, Fahrbahn auf jeweils zwei Fahrstreifen verengt. Im Anschluss folgen weitere Arbeiten. Gesamtbauzeit bis ca. 2027","GEOMETRYCOLLECTION(POINT(13.495230241432552 52.46649479662873), LINESTRING(13.494840970941723 52.466735991269864, 13.495535034116246 52.466266948125806), LINESTRING(13.495535034116246 52.466266948125806, 13.494840970941723 52.466735991269864))"
235,Sperrung,Vollsperrung,23.02.2023 12:03,31.03.2024 15:00,Einseitig,sperrung,"Baustelle, Anschlussstelle gesperrt","GEOMETRYCOLLECTION(POINT(13.306427927785206 52.56810501297267), POINT(13.30551543608457 52.57124886462684), LINESTRING(13.305509081241988 52.571258982838565, 13.305359100888898 52.570582952393266, 13.305292061385318 52.57005601279395, 13.305290955337671 52.56961399397359, 13.305303934452262 52.569174064893666, 13.305347937462296 52.56873700750208, 13.30544093017568 52.568342010459425, 13.305509998005835 52.56818097926612), LINESTRING(13.306427927785206 52.56810501297267, 13.306386992201205 52.56823300022654, 13.306251921225698 52.56849100078239, 13.306109956748987 52.56883593649874, 13.306003041009122 52.56917498989056, 13.305942985328468 52.56953098766771, 13.305924902370782 52.569869963470765, 13.305838057936286 52.57031602836944, 13.30581599988563 52.570470989149605, 13.305730048976566 52.570690940349266))"
236,Baustelle,keine Sperrung,23.02.2023 07:00,28.03.2024 17:00,Beidseitig,baustelle,"Brückenneubau U6, Fahrbahn jeweils auf einen Fahrstreifen verengt und verschwenkt, es folgen weitere Bauabschnitte bis vsl. 03/24","GEOMETRYCOLLECTION(POINT(13.307034944697277 52.568101841585296), LINESTRING(13.300166098997565 52.569977036354715, 13.300573931042255 52.56976800397763, 13.301854906699063 52.56922992589342, 13.302914107989166 52.56881695818674, 13.303887024619014 52.56847898951596, 13.30422298573316 52.56838795728609, 13.304501968867028 52.568328026512596, 13.304781050558004 52.5682769976987, 13.305162064851432 52.56821906589428, 13.305509998005835 52.56818097926612, 13.305762925514863 52.56814998360042, 13.306427927785206 52.56810501297267, 13.306595971215563 52.568097976246214, 13.307465010638639 52.56807300143722, 13.3084440522406 52.56804995178488, 13.309279945941162 52.56803500962679, 13.3099510224633 52.56801995646088, 13.310594983806578 52.56800397306875), LINESTRING(13.310594983806578 52.56800397306875, 13.3099510224633 52.56801995646088, 13.309279945941162 52.56803500962679, 13.3084440522406 52.56804995178488, 13.307465010638639 52.56807300143722, 13.306595971215563 52.568097976246214, 13.306427927785206 52.56810501297267, 13.305762925514863 52.56814998360042, 13.305509998005835 52.56818097926612, 13.305162064851432 52.56821906589428, 13.304781050558004 52.5682769976987, 13.304501968867028 52.568328026512596, 13.30422298573316 52.56838795728609, 13.303887024619014 52.56847898951596, 13.302914107989166 52.56881695818674, 13.301854906699063 52.56922992589342, 13.300573931042255 52.56976800397763, 13.300166098997565 52.569977036354715))"
