,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
5161,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-18,0.0,0.0,6.9,-0.2
5162,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-19,0.0,0.0,5.7,-0.4
5163,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-20,0.0,0.0,5.9,-1.4
5164,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-21,2.2,0.0,7.5,-3.4
5165,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-22,1.7,0.0,5.9,1.5
5166,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-23,0.3,0.0,4.7,0.5
5167,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-24,3.3,0.0,4.0,-2.9
5168,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-25,0.2,0.0,6.4,1.2
5169,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-26,0.3,0.0,1.2,-6.7
5170,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-27,0.1,0.0,-3.1,-8.6
5171,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-02-28,1.0,0.0,-2.0,-5.6
5172,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-01,0.4,30.0,-0.8,-9.6
5173,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-02,0.0,50.0,-3.0,-12.0
5174,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-03,0.0,60.0,-5.9,-11.5
5175,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-04,0.8,30.0,-6.4,-12.1
5176,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-05,0.0,50.0,-4.8,-9.3
5177,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-06,0.0,40.0,-4.3,-14.4
5178,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-07,0.0,30.0,0.7,-8.8
5179,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-08,0.0,0.0,1.4,-6.0
5180,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-09,0.8,0.0,2.4,-0.2
5181,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-10,0.5,0.0,3.9,-0.4
5182,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-11,0.0,0.0,1.4,-3.3
5183,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-12,5.3,0.0,3.2,-7.6
5184,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-13,0.1,0.0,8.6,0.0
5185,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-14,0.0,0.0,10.3,3.3
5186,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-15,0.0,0.0,12.3,0.0
5187,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-16,0.0,0.0,10.4,1.1
5188,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-17,0.6,0.0,12.2,0.7
5189,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-18,0.0,0.0,15.6,2.2
5190,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-19,0.2,0.0,17.0,4.9
5191,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-20,0.0,0.0,15.4,2.3
5192,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-21,0.0,0.0,17.6,5.4
5193,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-22,0.0,0.0,12.4,2.1
5194,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-23,0.0,0.0,7.0,-2.0
5195,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-24,3.5,0.0,8.0,-2.4
5196,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-25,0.2,0.0,10.0,4.3
5197,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-26,0.9,0.0,8.9,4.2
5198,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-27,0.0,0.0,8.9,-0.2
5199,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-28,0.0,0.0,6.0,-0.6
5200,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-29,0.0,0.0,5.0,-0.6
5201,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-30,0.0,0.0,7.2,-0.1
5202,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-03-31,3.7,0.0,7.5,3.7
5203,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-01,0.0,0.0,15.1,6.4
5204,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-02,0.8,0.0,15.0,5.6
5205,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-03,0.0,0.0,13.0,7.0
5206,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-04,0.0,0.0,18.1,4.4
5207,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-05,11.8,0.0,15.1,5.4
5208,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-06,5.5,0.0,10.7,5.0
5209,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-07,0.0,0.0,8.4,5.3
5210,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-08,0.0,0.0,12.2,6.2
5211,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-09,0.0,0.0,15.5,4.0
5212,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-10,0.0,0.0,11.8,3.5
5213,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-11,0.0,0.0,10.6,5.7
5214,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-12,0.0,0.0,11.3,0.3
5215,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-13,0.0,0.0,13.7,1.4
5216,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-14,0.0,0.0,13.1,-2.1
5217,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-15,0.0,0.0,15.1,0.6
5218,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-16,0.0,0.0,21.0,1.2
5219,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-17,0.5,0.0,15.2,5.0
5220,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-18,0.0,0.0,14.0,-1.6
5221,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-19,0.0,0.0,19.9,1.0
5222,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-20,0.0,0.0,17.7,3.3
5223,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-21,0.0,0.0,18.0,1.7
5224,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-22,0.0,0.0,20.3,4.2
5225,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-23,0.0,0.0,21.9,7.4
5226,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-24,4.5,0.0,16.7,8.0
5227,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-25,0.0,0.0,8.9,3.8
5228,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-26,0.3,0.0,7.1,-2.4
5229,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-27,7.1,0.0,5.5,-1.8
5230,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-28,1.9,0.0,9.7,-0.3
5231,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-29,0.1,0.0,10.7,0.9
5232,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-04-30,0.0,0.0,10.5,0.9
5233,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-01,0.0,0.0,11.9,-0.6
5234,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-02,0.0,0.0,14.4,1.4
5235,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-03,0.0,0.0,15.9,0.9
5236,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-04,0.0,0.0,17.9,2.5
5237,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-05,0.0,0.0,16.4,4.7
5238,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-06,0.0,0.0,18.5,3.4
5239,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-07,0.0,0.0,19.8,4.3
5240,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-08,0.0,0.0,21.9,5.4
5241,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-09,0.5,0.0,24.3,6.8
5242,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-10,0.0,0.0,21.0,12.9
5243,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-11,0.0,0.0,25.5,9.6
5244,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-12,0.0,0.0,28.8,10.8
5245,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-13,0.3,0.0,27.7,12.5
5246,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-14,0.0,0.0,24.7,10.8
5247,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-15,0.0,0.0,26.0,13.1
